parent_asin,rating,Y_low_rating,title,review_text,price,delta_cosine,delta_euclidean,P_rank,delta_x_price_rank,review_sentiment_diff,review_neg_word_count,review_pos_word_count,review_exclamation_count,review_word_count,review_upper_ratio,title_word_count,delta_x_review_length,delta_x_negation,log_review_length,img_kb_diff,img_kb_ratio
B09N8T89HW,5.0,0,AOAVOV 925 Sterling Silver Handmade Dangle Dangle Earrings&Hollow Out Petal Pendant Hook Earring For Women Ethnic Style Silver Studs For Sensitive Ears,"These are a simple pair of silver (925) hoops by Aoavov. They are small (about the size of a dime) but catch the eye due to the shape (fuller at the bottom). They are lightweight and have the standard closure. They did not irritate my skin or pull on my holes. They will match anything that you want to wear them with. And finally, they came in a cute, lace, drawstring bag that is perfect for gift giving. I’d highly recommend these.",28.99,0.5352402329444885,16.00708770751953,0.7487839481151196,0.4007792948142304,1.0,1.0,2.0,0.0,82.0,0.0184331797235023,22,43.88969910144806,0.5352402329444885,4.418840607796598,-133.28125,0.40714999348421
B0B836DLWM,5.0,0,"Herculean Luggage Cup Holder - Universal Fit Drink Holder for Most Suitcase Handles - Caddy Bag Accessory for Beverage Holder, Bottle Holder - Flight Attendant Gift, Drink Caddy for Traveler Carry On","I read about a similar cup holder on a travel blog. I decided to try this one out. I can report it's a really cool concept.<br /><br />The cup holder fits around the luggage handle. You pull the bag apart (velcro), slip over & down the handle, then push the velcro pieces back together to lock the bag into place. It comes with a carry strap, but not sure if it makes sense to use it with anything else other than a sealed bottle.<br /><br />I placed two Tervis 16 oz. cups into each cup holder. Both were held securely and it perfectly. Most bottled water, aluminum cans will fit just fine. Wide or extra wide bottles will most likely be too big to fit. You can use the straps around the cup holder to expand or contract the fitness, but it doesn't expand very far. There are pockets on the back to hold small, thin objects (think paper).<br /><br />I really like the color and the bag is made pretty well for its price point. The orange caps add a bit of flair. A good value & a good tool to bring along for all your travels.",18.99,0.4817657470703125,14.668554306030272,0.5078029995946494,0.2446420914642618,-1.0,1.0,0.0,0.0,195.0,0.0160481444332999,32,93.94432067871094,0.4817657470703125,5.278114659230517,16.1640625,1.0888860248313783
B079QJ8MXP,4.0,0,CellDesigns Gaming Souvenir Collection (Gravity Falls Journal 3-Necklace),The 2 prices of the book will not stay together.  I'm going to have to glue it together so my grandchild will not loose part of it. But she does love it.,7.99,0.2408598661422729,10.548577308654783,0.0727604377786785,0.0175250693038256,0.0,1.0,1.0,0.0,32.0,0.0196078431372549,8,7.707515716552733,0.2408598661422729,3.49650756146648,-205.5498046875,0.2573224045643958
B08WH33RZN,5.0,0,Life is Good Men's Crusher Graphic Long Sleeve T-Shirt Where's The Fish,"My brother fishes. He also thinks WTF stands for World Trade Federation. In any event he loves this long sleeved tee. The fabric is soft and breathable. The navy has a weathered look. The graphic is adorable. True to size it is the perfect length. The fit, while not tight, conforms to the body and is not loose. Really nice shirt.",35.5,0.2564523220062256,9.96851921081543,0.8296513984596676,0.212766027590694,1.0,1.0,2.0,0.0,61.0,0.0453172205438066,12,15.64359164237976,0.2564523220062256,4.127134385045092,-27.75,0.8476043376130257
B07TFJPZKL,5.0,0,"Casio Men's Stainless Steel Quartz Resin Strap, Black, 22 Casual Watch (Model: MTP-S110-1AVCF), RED",This striking watch has a bold face a d a comfortable band. In addition to keeping time it has a calendar. Solar powered it tells time accurately and precisely. The face is large and there are dots where numerals usually are. Still easy to read. I was not impressed with the packaging which consisted of a bright blue branded box and a cheap plastic holder.  The watch is well made and worthy of better. If you like big and bold you will appreciate this timepiece.,86.5,0.2013165950775146,10.619635581970217,0.944162950952574,0.1900756704841106,0.0,2.0,2.0,0.0,85.0,0.0172413793103448,14,17.11191058158874,0.4026331901550292,4.454347296253507,59.0869140625,1.6701481957335578
B08J86P7WM,3.0,1,Game Collection Fate/Grand Order FGO Lancer/Scathach Cu Chulainn Figma Adjustable Lance Keychain Metal Model Keyring Action Figure Arts Toys Backpack Pendant Party Gift,"So.... I've begun to customize this piece. It's great! I shaved off the paint on the ""sharp"" part of the blade and it looks great so far. I've got a long way to go before I'm really happy with the finished project but the item as bought was great. Unfortunately, it's not as shown in the first few pictures. If they fixed this I'd give it five stars for sure.<br />It's extending feature is in my opinion esthetically lacking. It's cool but doesn't look as cool as id like. Id still give it five stars if it just looked like all the pictures.",18.99,0.2980631589889526,12.316317558288574,0.5078029995946494,0.151357366203247,1.0,1.0,2.0,1.0,103.0,0.0223463687150838,23,30.700505375862114,0.2980631589889526,4.6443908991413725,-62.310546875,0.5064052975214284
B09TXZHKLG,5.0,0,Casio F91W-1 Classic Resin Strap Digital Sport Watch,Thin and beautiful. LCD lies very close to the cover glass (or is it plastic?). This gives much clean view of the time. It is so thin that it goes underneath the sleeve well.<br /><br />2 negatives<br />1. Way to small for a man. It’s cute and clean but really tiny. It causes squinting.<br /><br />2. Very Light indeed. But the strap does not bend around the wrist so you are always conscious of the fact that there is something on your wrist. Beats the purpose of being a light watch. This will bother you. I guess I can change the strap but not for now.,19.99,0.4282529354095459,13.992807388305664,0.5587758411025537,0.2392973941881066,-1.0,1.0,0.0,0.0,104.0,0.0301318267419962,8,44.53830528259277,0.4282529354095459,4.653960350157523,60.4921875,1.5086424213560186
B07CQ84KLT,4.0,0,LILBETTER Women V-Neck Polka Dot Print Spaghetti Strap Boho Long Maxi Dresses,"Great quality, but sad to say, poor quality control, at least on the Navy Blue Polka Dotted design. It has a seam running straight down the front…BUT it is a perfect summer dress and appropriate to even wear to work. I will be exchanging for another color. 😊 (My measurements below.)<br /><br />Positives:<br />It’s made of a nice, sturdy material that doesn’t appear to be transparent.<br />💙 Quality material<br />💙 Pockets (!!!) - Decent size too<br />💙 Adjustable shoulder straps<br />💙 Not too long for this shorty lol Falls just below ankles in the back and above in the front<br /><br />💔 BUT that freaking seam that goes right down the middle… I can’t NOT unsee it when I put it on (see pictures). I guess it’s hit and miss with the Navy blue polka dotted design. I will be returning/exchanging for another color though.<br /><br />My Measurements:<br />(Wearing size MEDIUM in pictures)<br />5’5”, 185-190 lbs<br />Fullest point of Bust: 40-1/2”<br />Band size: 35”<br />Waist: 34”<br />Fullest point on Hips/Booty: 44-1/2”",35.99,0.4562476277351379,15.318163871765137,0.8349209566274828,0.380930705807641,2.0,2.0,4.0,3.0,168.0,0.0485744456177402,12,76.64960145950316,0.9124952554702758,5.1298987149230735,-44.0029296875,0.7746802148236306
B08BNK9JQ2,5.0,0,Slim Wallet Front Pocket Minimalist Genuine Leather RFID Blocking Card Holder,"Overall I really like this wallet. Wanted a switch from the same old leather wallets and a more minimalist approach. It is relatively small and compact profile that makes it easy to put in my pocket and does not Protrude as much as a bi fold wallet. I can see it becoming and issue if you have many cards, I carry about 5-8 cards and a tile tracker in the wallet with no issue.",12.99,0.3364307284355163,12.273117065429688,0.2960072963113093,0.0995859503202415,-2.0,2.0,0.0,0.0,74.0,0.0185676392572944,11,24.895873904228207,0.6728614568710326,4.31748811353631,177.87109375,1.851993395109949
B00JT1OQL0,5.0,0,Peter Grimm Women's Gila Drifter – Rhinestone Cowgirl Hat (Metallic Silver),I wanted the hat to compliment my boots. LOVE the outfit. The hat fits over my braids and it is tastefully sparkly. Very comf.  Will order from Peter Grimm again!!!,34.39,0.3311879634857178,13.978766441345217,0.8202269963518444,0.2716493085177746,1.0,0.0,1.0,3.0,30.0,0.0609756097560975,11,9.935638904571531,0.0,3.4339872044851463,10.630859375,1.0559217116584902
